,open,high,low,close,volume
2026-04-10 09:15:00+05:30,23880.55,23978.7,23856.35,23937.35,49661020
2026-04-10 09:30:00+05:30,23938.05,23959.5,23921.85,23948.6,29207754
2026-04-10 09:45:00+05:30,23949.3,23998.25,23943.65,23988.45,22545459
2026-04-10 10:00:00+05:30,23988.65,24002.85,23916.3,23994.95,23118905
2026-04-10 10:15:00+05:30,23996.9,24036.2,23996.9,24010.0,15731108
2026-04-10 10:30:00+05:30,24008.9,24026.1,24001.0,24003.75,12636667
2026-04-10 10:45:00+05:30,24003.65,24009.05,23972.3,23999.7,14455031
2026-04-10 11:00:00+05:30,23999.8,24021.35,23993.95,24012.05,11407781
2026-04-10 11:15:00+05:30,24011.35,24015.35,23971.3,23972.15,15349512
2026-04-10 11:30:00+05:30,23972.8,24007.4,23970.05,23980.95,16918285
2026-04-10 11:45:00+05:30,23979.7,23996.0,23953.8,23994.7,11522929
2026-04-10 12:00:00+05:30,23994.3,24019.55,23984.95,24009.1,13320349
2026-04-10 12:15:00+05:30,24007.9,24032.6,23991.15,24009.35,13165966
2026-04-10 12:30:00+05:30,24010.4,24022.0,23995.3,24004.3,11437965
2026-04-10 12:45:00+05:30,24003.65,24018.95,23986.15,24004.9,14960733
2026-04-10 13:00:00+05:30,24005.3,24021.75,23999.35,24003.15,11459943
2026-04-10 13:15:00+05:30,24003.4,24010.75,23996.0,24007.5,15552139
2026-04-10 13:30:00+05:30,24007.0,24025.7,23999.15,24020.7,13277651
2026-04-10 13:45:00+05:30,24020.15,24044.9,24002.35,24041.2,12949682
2026-04-10 14:00:00+05:30,24041.0,24048.2,23998.45,24020.4,14671231
2026-04-10 14:15:00+05:30,24020.45,24021.8,23938.6,23965.35,19962344
2026-04-10 14:30:00+05:30,23964.65,23993.45,23947.25,23982.9,20048622
2026-04-10 14:45:00+05:30,23981.85,24006.15,23956.75,23994.2,21311155
2026-04-10 15:00:00+05:30,23994.85,24074.05,23994.85,24058.1,35287787
2026-04-10 15:15:00+05:30,24057.2,24063.45,24045.9,24050.5,38035568
2026-04-13 09:15:00+05:30,23589.6,23699.7,23555.6,23604.7,59890184
2026-04-13 09:30:00+05:30,23604.3,23644.0,23580.35,23633.5,24638679
2026-04-13 09:45:00+05:30,23634.3,23680.4,23612.45,23669.05,19012307
2026-04-13 10:00:00+05:30,23668.8,23682.65,23653.15,23660.05,20341105
2026-04-13 10:15:00+05:30,23655.5,23732.3,23634.05,23721.5,20232992
2026-04-13 10:30:00+05:30,23721.8,23738.55,23696.3,23723.55,16071808
2026-04-13 10:45:00+05:30,23723.2,23757.95,23721.85,23740.0,19972011
2026-04-13 11:00:00+05:30,23737.45,23752.3,23730.4,23743.7,13250295
2026-04-13 11:15:00+05:30,23743.75,23762.75,23731.1,23740.5,11444623
2026-04-13 11:30:00+05:30,23740.65,23772.3,23729.4,23756.15,11288700
2026-04-13 11:45:00+05:30,23756.75,23811.35,23754.6,23785.65,13626910
2026-04-13 12:00:00+05:30,23785.95,23816.2,23785.45,23814.6,12577819
2026-04-13 12:15:00+05:30,23814.7,23836.55,23796.0,23835.95,10807371
2026-04-13 12:30:00+05:30,23837.6,23847.75,23821.5,23841.35,11163395
2026-04-13 12:45:00+05:30,23842.15,23845.7,23780.9,23806.45,16649367
2026-04-13 13:00:00+05:30,23806.8,23822.4,23771.75,23820.65,10704237
2026-04-13 13:15:00+05:30,23821.25,23839.8,23805.25,23823.4,12401911
2026-04-13 13:30:00+05:30,23824.55,23856.8,23822.9,23835.45,13496500
2026-04-13 13:45:00+05:30,23835.85,23907.4,23831.9,23893.7,18128101
2026-04-13 14:00:00+05:30,23893.05,23897.3,23835.2,23854.5,14821502
2026-04-13 14:15:00+05:30,23854.75,23881.65,23834.6,23866.05,12620013
2026-04-13 14:30:00+05:30,23865.45,23897.45,23855.75,23866.35,16545811
2026-04-13 14:45:00+05:30,23866.05,23897.4,23854.6,23883.7,17034713
2026-04-13 15:00:00+05:30,23884.95,23888.2,23822.25,23845.4,52104059
2026-04-13 15:15:00+05:30,23843.65,23847.0,23814.65,23818.9,34701432
2026-04-15 09:15:00+05:30,24163.8,24280.9,24162.7,24192.45,59435461
2026-04-15 09:30:00+05:30,24193.5,24215.95,24145.8,24207.35,24217182
2026-04-15 09:45:00+05:30,24207.05,24225.2,24186.7,24216.0,19758035
2026-04-15 10:00:00+05:30,24216.8,24253.35,24214.05,24241.65,21628834
2026-04-15 10:15:00+05:30,24241.55,24272.55,24241.55,24260.1,15191895
2026-04-15 10:30:00+05:30,24260.4,24273.15,24235.45,24243.1,14108703
2026-04-15 10:45:00+05:30,24242.5,24255.75,24208.8,24216.1,14845812
2026-04-15 11:00:00+05:30,24216.35,24216.5,24177.6,24184.25,13318511
2026-04-15 11:15:00+05:30,24184.5,24207.5,24174.5,24188.05,11724422
2026-04-15 11:30:00+05:30,24188.1,24211.05,24184.65,24210.35,10766179
2026-04-15 11:45:00+05:30,24210.6,24226.25,24202.15,24217.1,11950695
2026-04-15 12:00:00+05:30,24217.75,24234.95,24217.45,24226.85,10734988
2026-04-15 12:15:00+05:30,24227.0,24235.65,24200.4,24219.75,11780301
2026-04-15 12:30:00+05:30,24219.8,24236.65,24213.05,24228.05,12339815
2026-04-15 12:45:00+05:30,24228.75,24234.85,24203.95,24207.85,12642752
2026-04-15 13:00:00+05:30,24207.5,24222.75,24200.2,24220.55,10155943
2026-04-15 13:15:00+05:30,24220.65,24238.55,24187.75,24196.95,14993914
2026-04-15 13:30:00+05:30,24196.9,24223.3,24191.25,24215.75,11487024
2026-04-15 13:45:00+05:30,24215.9,24225.2,24194.35,24221.25,16434260
2026-04-15 14:00:00+05:30,24221.8,24238.1,24219.5,24226.6,16435415
2026-04-15 14:15:00+05:30,24227.05,24242.25,24214.4,24233.35,12003276
2026-04-15 14:30:00+05:30,24232.9,24237.9,24220.15,24233.15,14915884
2026-04-15 14:45:00+05:30,24233.0,24264.2,24232.35,24261.25,18506451
2026-04-15 15:00:00+05:30,24262.2,24265.75,24223.95,24227.85,38624296
2026-04-15 15:15:00+05:30,24228.7,24230.35,24206.5,24211.9,36184456
2026-04-16 09:15:00+05:30,24385.2,24400.95,24333.95,24385.85,52747754
2026-04-16 09:30:00+05:30,24385.65,24396.05,24299.05,24301.95,28099286
2026-04-16 09:45:00+05:30,24302.75,24337.05,24270.55,24271.55,21179573
2026-04-16 10:00:00+05:30,24271.65,24319.85,24264.4,24307.6,18348223
2026-04-16 10:15:00+05:30,24306.15,24328.8,24292.5,24300.75,14461742
2026-04-16 10:30:00+05:30,24301.05,24325.85,24292.45,24307.65,13328877
2026-04-16 10:45:00+05:30,24307.45,24327.9,24302.15,24309.55,14941936
2026-04-16 11:00:00+05:30,24309.3,24333.2,24303.65,24313.9,20011126
2026-04-16 11:15:00+05:30,24313.2,24328.95,24282.75,24299.15,24377114
2026-04-16 11:30:00+05:30,24300.25,24304.25,24252.9,24254.7,11765499
2026-04-16 11:45:00+05:30,24254.3,24254.3,24194.7,24197.2,18082644
2026-04-16 12:00:00+05:30,24196.3,24197.8,24153.05,24184.8,16848715
2026-04-16 12:15:00+05:30,24182.95,24189.7,24152.25,24162.95,12163581
2026-04-16 12:30:00+05:30,24162.4,24169.75,24131.8,24139.05,14018945
2026-04-16 12:45:00+05:30,24140.8,24157.1,24116.95,24144.55,11888311
2026-04-16 13:00:00+05:30,24144.5,24160.2,24107.45,24122.3,16756653
2026-04-16 13:15:00+05:30,24122.6,24142.45,24102.8,24116.05,14914139
2026-04-16 13:30:00+05:30,24116.1,24140.1,24115.3,24137.75,10519811
2026-04-16 13:45:00+05:30,24137.85,24190.5,24137.45,24183.2,18555708
2026-04-16 14:00:00+05:30,24181.9,24183.95,24132.45,24166.7,11661831
2026-04-16 14:15:00+05:30,24166.75,24186.9,24153.75,24186.6,10231899
2026-04-16 14:30:00+05:30,24186.5,24234.55,24186.5,24219.65,18099578
2026-04-16 14:45:00+05:30,24219.5,24245.0,24214.6,24230.05,19114508
2026-04-16 15:00:00+05:30,24229.45,24238.3,24163.45,24183.9,53024882
2026-04-16 15:15:00+05:30,24184.25,24203.25,24177.8,24188.4,40140187
2026-04-17 09:15:00+05:30,24165.9,24235.6,24096.05,24233.35,58945666
2026-04-17 09:30:00+05:30,24232.6,24234.75,24166.9,24191.35,24437776
2026-04-17 09:45:00+05:30,24192.75,24238.55,24190.0,24232.1,18968319
2026-04-17 10:00:00+05:30,24231.4,24279.85,24205.4,24272.95,18273089
2026-04-17 10:15:00+05:30,24273.45,24304.55,24273.45,24285.85,14769757
2026-04-17 10:30:00+05:30,24285.9,24296.3,24244.05,24260.4,15652503
2026-04-17 10:45:00+05:30,24260.45,24270.0,24252.6,24254.95,15325228
2026-04-17 11:00:00+05:30,24255.7,24275.15,24237.75,24265.1,19668473
2026-04-17 11:15:00+05:30,24264.65,24282.15,24264.65,24275.25,17056670
2026-04-17 11:30:00+05:30,24275.8,24302.6,24273.5,24294.9,11586456
2026-04-17 11:45:00+05:30,24295.6,24323.1,24269.65,24271.45,15899126
2026-04-17 12:00:00+05:30,24271.65,24292.55,24253.15,24285.6,16620490
2026-04-17 12:15:00+05:30,24286.2,24293.7,24280.7,24284.0,11437162
2026-04-17 12:30:00+05:30,24283.95,24285.05,24260.25,24267.0,13264528
2026-04-17 12:45:00+05:30,24267.15,24277.95,24259.9,24266.1,9324573
2026-04-17 13:00:00+05:30,24267.0,24292.95,24264.85,24285.05,10848345
2026-04-17 13:15:00+05:30,24284.3,24289.35,24265.4,24289.35,13090348
2026-04-17 13:30:00+05:30,24289.5,24312.8,24287.45,24301.9,14354752
2026-04-17 13:45:00+05:30,24301.6,24309.1,24294.05,24303.3,13033061
2026-04-17 14:00:00+05:30,24303.65,24317.75,24300.85,24306.85,13715607
2026-04-17 14:15:00+05:30,24307.5,24327.1,24305.1,24307.1,20088365
2026-04-17 14:30:00+05:30,24307.4,24343.4,24304.75,24340.45,24081287
2026-04-17 14:45:00+05:30,24339.85,24357.8,24338.0,24349.85,23098635
2026-04-17 15:00:00+05:30,24349.6,24358.25,24320.1,24354.55,37633445
2026-04-17 15:15:00+05:30,24353.65,24371.9,24348.1,24366.9,42679872
2026-04-20 09:15:00+05:30,24391.5,24420.2,24241.25,24383.0,48620186
2026-04-20 09:30:00+05:30,24383.15,24389.75,24295.6,24302.75,27548288
2026-04-20 09:45:00+05:30,24301.85,24344.1,24281.2,24331.75,17422072
2026-04-20 10:00:00+05:30,24331.05,24388.3,24326.35,24379.6,15406410
2026-04-20 10:15:00+05:30,24379.95,24413.5,24370.5,24409.65,13939754
2026-04-20 10:30:00+05:30,24409.5,24448.5,24409.5,24439.05,17345880
2026-04-20 10:45:00+05:30,24439.35,24439.7,24410.9,24430.1,14934643
2026-04-20 11:00:00+05:30,24431.1,24440.1,24395.9,24407.65,16922118
2026-04-20 11:15:00+05:30,24408.45,24467.6,24407.2,24464.75,11778722
2026-04-20 11:30:00+05:30,24463.8,24471.15,24439.9,24462.75,14552702
2026-04-20 11:45:00+05:30,24462.4,24473.25,24456.4,24463.35,12935005
2026-04-20 12:00:00+05:30,24463.25,24469.6,24421.75,24433.2,11189225
2026-04-20 12:15:00+05:30,24432.35,24463.45,24426.0,24461.4,9702462
2026-04-20 12:30:00+05:30,24461.0,24470.5,24453.15,24462.35,9525132
2026-04-20 12:45:00+05:30,24462.1,24480.65,24460.75,24462.05,10000800
2026-04-20 13:00:00+05:30,24461.85,24463.15,24394.35,24414.3,13645935
2026-04-20 13:15:00+05:30,24414.05,24424.6,24359.2,24392.0,13994565
2026-04-20 13:30:00+05:30,24392.65,24404.8,24369.2,24396.35,11884269
2026-04-20 13:45:00+05:30,24395.6,24397.8,24369.9,24395.35,12406926
2026-04-20 14:00:00+05:30,24395.75,24396.05,24372.25,24393.75,11031840
2026-04-20 14:15:00+05:30,24393.95,24438.0,24388.1,24431.25,11540253
2026-04-20 14:30:00+05:30,24431.5,24431.6,24390.8,24401.25,15142723
2026-04-20 14:45:00+05:30,24402.35,24410.4,24371.95,24407.9,13287235
2026-04-20 15:00:00+05:30,24408.35,24424.6,24381.0,24381.8,23516715
2026-04-20 15:15:00+05:30,24382.25,24383.2,24318.0,24330.9,34731097
2026-04-21 09:15:00+05:30,24374.55,24486.0,24354.9,24449.15,35716264
2026-04-21 09:30:00+05:30,24449.75,24477.65,24442.45,24466.6,17503489
2026-04-21 09:45:00+05:30,24465.95,24512.35,24465.95,24499.95,17715104
2026-04-21 10:00:00+05:30,24500.65,24524.85,24498.3,24513.45,11767366
2026-04-21 10:15:00+05:30,24513.4,24524.65,24487.5,24493.6,11522890
2026-04-21 10:30:00+05:30,24494.15,24535.15,24491.2,24528.05,14186091
2026-04-21 10:45:00+05:30,24527.85,24561.5,24517.65,24549.25,10899488
2026-04-21 11:00:00+05:30,24549.55,24565.1,24540.0,24556.45,10750980
2026-04-21 11:15:00+05:30,24555.1,24557.1,24529.95,24539.2,9648377
2026-04-21 11:30:00+05:30,24537.3,24539.2,24513.65,24528.0,16869897
2026-04-21 11:45:00+05:30,24527.85,24543.95,24521.8,24531.65,10688119
2026-04-21 12:00:00+05:30,24531.8,24569.15,24527.2,24559.0,11543440
2026-04-21 12:15:00+05:30,24558.2,24570.95,24545.6,24547.2,13424069
2026-04-21 12:30:00+05:30,24547.65,24571.25,24545.85,24552.55,13377392
2026-04-21 12:45:00+05:30,24552.4,24553.9,24527.7,24537.9,13449214
2026-04-21 13:00:00+05:30,24538.7,24546.1,24525.35,24540.7,11593556
2026-04-21 13:15:00+05:30,24542.5,24555.8,24536.25,24552.35,13168267
2026-04-21 13:30:00+05:30,24552.6,24569.8,24523.5,24533.5,15120801
2026-04-21 13:45:00+05:30,24532.85,24563.8,24526.6,24554.6,11778273
2026-04-21 14:00:00+05:30,24554.35,24556.75,24522.6,24537.2,14617777
2026-04-21 14:15:00+05:30,24537.85,24584.65,24535.7,24572.6,18549043
2026-04-21 14:30:00+05:30,24573.6,24574.45,24526.05,24535.45,15188090
2026-04-21 14:45:00+05:30,24535.45,24572.85,24534.9,24568.2,18609148
2026-04-21 15:00:00+05:30,24568.2,24600.45,24548.9,24573.9,48179981
2026-04-21 15:15:00+05:30,24573.7,24601.7,24567.4,24580.6,38012480
2026-04-22 09:15:00+05:30,24470.85,24515.95,24434.4,24440.4,48817006
2026-04-22 09:30:00+05:30,24439.45,24466.45,24420.5,24424.4,21273184
2026-04-22 09:45:00+05:30,24424.8,24433.55,24381.35,24382.25,19172949
2026-04-22 10:00:00+05:30,24382.9,24390.5,24352.9,24373.15,16554005
2026-04-22 10:15:00+05:30,24372.9,24385.55,24353.7,24373.05,15187723
2026-04-22 10:30:00+05:30,24372.3,24418.2,24367.2,24416.35,14937807
2026-04-22 10:45:00+05:30,24416.25,24447.8,24409.05,24439.9,14715675
2026-04-22 11:00:00+05:30,24440.2,24441.2,24412.3,24428.15,9977570
2026-04-22 11:15:00+05:30,24427.95,24449.7,24424.25,24435.45,13788461
2026-04-22 11:30:00+05:30,24435.95,24448.7,24417.05,24417.2,16855594
2026-04-22 11:45:00+05:30,24416.8,24428.25,24390.55,24426.9,14921302
2026-04-22 12:00:00+05:30,24426.85,24436.35,24409.75,24419.15,19866003
2026-04-22 12:15:00+05:30,24418.65,24422.75,24400.15,24409.9,12967448
2026-04-22 12:30:00+05:30,24410.2,24422.15,24395.5,24418.45,11192558
2026-04-22 12:45:00+05:30,24419.2,24433.4,24403.55,24429.75,14385775
2026-04-22 13:00:00+05:30,24431.8,24437.7,24417.8,24431.25,14476968
2026-04-22 13:15:00+05:30,24429.75,24433.15,24385.45,24415.6,12986454
2026-04-22 13:30:00+05:30,24415.9,24433.55,24409.0,24431.9,11535358
2026-04-22 13:45:00+05:30,24431.5,24453.05,24415.1,24449.55,15324115
2026-04-22 14:00:00+05:30,24449.85,24458.25,24405.9,24415.0,15632340
2026-04-22 14:15:00+05:30,24416.45,24418.1,24390.7,24405.6,13236412
2026-04-22 14:30:00+05:30,24405.65,24430.0,24402.8,24413.15,16141656
2026-04-22 14:45:00+05:30,24412.75,24430.25,24408.5,24425.75,15343676
2026-04-22 15:00:00+05:30,24423.15,24423.15,24374.15,24382.4,24932757
2026-04-22 15:15:00+05:30,24382.05,24392.65,24356.7,24367.65,33605339
2026-04-23 09:15:00+05:30,24202.35,24242.5,24134.8,24230.5,44084587
2026-04-23 09:30:00+05:30,24229.9,24256.9,24193.5,24242.65,23222052
2026-04-23 09:45:00+05:30,24244.7,24298.95,24233.6,24287.5,29310675
2026-04-23 10:00:00+05:30,24288.0,24310.2,24266.05,24275.35,20792303
2026-04-23 10:15:00+05:30,24276.8,24291.65,24260.6,24261.3,14642114
2026-04-23 10:30:00+05:30,24263.5,24265.4,24217.65,24220.0,12757354
2026-04-23 10:45:00+05:30,24221.3,24222.7,24185.2,24215.35,12245080
2026-04-23 11:00:00+05:30,24216.0,24225.65,24191.1,24191.85,14798437
2026-04-23 11:15:00+05:30,24193.2,24210.35,24186.75,24197.75,12884502
2026-04-23 11:30:00+05:30,24198.15,24203.95,24177.65,24178.15,12466374
2026-04-23 11:45:00+05:30,24179.0,24218.1,24172.85,24206.1,12409377
2026-04-23 12:00:00+05:30,24208.05,24225.9,24195.95,24222.5,13123655
2026-04-23 12:15:00+05:30,24222.95,24231.5,24179.35,24180.1,14666877
2026-04-23 12:30:00+05:30,24182.6,24203.0,24167.1,24201.65,14807436
2026-04-23 12:45:00+05:30,24202.6,24217.05,24186.5,24214.7,12745248
2026-04-23 13:00:00+05:30,24215.85,24218.5,24200.75,24216.2,14275894
2026-04-23 13:15:00+05:30,24217.25,24281.1,24208.2,24271.45,18425664
2026-04-23 13:30:00+05:30,24271.75,24272.45,24204.3,24213.7,15327237
2026-04-23 13:45:00+05:30,24214.95,24252.75,24207.75,24241.5,18934296
2026-04-23 14:00:00+05:30,24242.1,24242.75,24207.65,24209.2,15044693
2026-04-23 14:15:00+05:30,24209.1,24221.4,24189.2,24189.45,17332867
2026-04-23 14:30:00+05:30,24190.95,24190.95,24160.65,24162.6,15373047
2026-04-23 14:45:00+05:30,24163.75,24194.05,24157.95,24180.85,15939074
2026-04-23 15:00:00+05:30,24181.8,24216.7,24159.0,24160.0,32974692
2026-04-23 15:15:00+05:30,24161.3,24175.1,24149.8,24156.05,35547909
2026-04-24 09:15:00+05:30,24100.55,24206.0,24056.6,24058.1,45167753
2026-04-24 09:30:00+05:30,24058.05,24061.6,23983.75,23984.25,23683420
2026-04-24 09:45:00+05:30,23985.4,23987.15,23944.1,23955.0,20202316
2026-04-24 10:00:00+05:30,23954.9,24003.35,23954.5,23992.85,18245182
2026-04-24 10:15:00+05:30,23992.25,23992.25,23937.25,23957.7,15160269
2026-04-24 10:30:00+05:30,23956.2,23971.2,23932.25,23933.65,11810518
2026-04-24 10:45:00+05:30,23933.4,23944.85,23914.9,23925.4,14471128
2026-04-24 11:00:00+05:30,23925.55,23943.8,23909.55,23916.2,14022810
2026-04-24 11:15:00+05:30,23915.1,23942.75,23903.25,23931.3,12907780
2026-04-24 11:30:00+05:30,23930.4,23949.3,23922.65,23927.05,11196406
2026-04-24 11:45:00+05:30,23926.3,23926.65,23893.4,23898.25,14157884
2026-04-24 12:00:00+05:30,23897.75,23933.05,23894.15,23930.65,13126072
